ead64131dd0c6578fe848645bdd65aac	Lịch Đông La Mã
59433	Danh sách người đoạt giải Nobel Văn học
119271	Dario Fo
63327	1994
89649	1963
4467	18 tháng 4
528881	1727
91c96f4ee2682abf0e639d7a42174282	Gnaeus Pompeius Strabo
776300	Baruch Samuel Blumberg
405418	Biblioteca Nacional de España
20539	23 tháng 9
782449	Hổ hình quyền
6842	Cách mạng Pháp
107933	1949
2dc27803d236310a8bb9470f52676249	Chưởng môn
09ef1725ac5c130e0b6fe2ab489b9158	Thể loại:Kiến trúc thập kỷ 1770
b00a21247b7c1f7d61b3270838937c74	Charles G. Dawes
426c8ebf21aeeea263bd1714dbb5b2e6	Butterfly and Sword
3351385	2084
578321	Thập niên 1610
392219	1859
27308	Quý Dậu
1f31f46a75f0f2cb8d25cdf47d8f7888	Quốc phòng
107893	1922
437e59e7051ef6ab524e84f2ed9b4aed	Amlaíb của Scotland
523797	1796
54582	Cơ (sinh học)
392217	1857
529346	1682
578305	Thập niên 1730
529588	1570
1401802	Charleston, Nam Carolina
d26a6a891d21c31a7eb8b53a1a00efb2	Ming Pao
31259	Agatha Christie
c5b7c7ab3fcfe397db3bca66674de7e8	Acadia
529343	1680
528899	1740
392212	1855
82916	Johann Wolfgang von Goethe
529253	1638
13080	2000
63729	1979
b26282d7a034ce03d759b0063a0d46b4	Gorgor
6e413fdd861f84ad53ce62d086e3f088	Carlos Filipe Ximenes Belo
27329	Canh Dần
107931	1947
20661	5 tháng 12
120765	François Mauriac
20617	3 tháng 11
63316	1999
531177	713
20595	22 tháng 10
529268	1648
107822	1914
541123	24 TCN
529380	1697
578327	Thập niên 1560
3aefc1990af022d3b178f7ee4bb714cc	David Oistrach
7615682	Chu Thường Phương
21998	New York (tiểu bang)
4169	An Dương Vương
55948	Trịnh Tráng
20415	22 tháng 7
789121	Lịch Do Thái
20550	29 tháng 9
27668	Argentina
20125	2 tháng 2
20535	21 tháng 9
daedb76a52b786a0ae4a40a584ae279c	Barstow, California
20285	18 tháng 5
250074	1803
357286	Hiệp Hòa
3338369	Al-Sham
107811	1903
0973735e874d290cb41371635b81c3d0	Captain (Royal Navy)
314222	2009
a71ca91a9d4e8590a7b2461b2b238abd	Chiến tranh Nine
87a7cf473b2faed922fb07edbb6bfa31	Lịch Bali
20297	25 tháng 5
27ab45a2243ad5b7c9e485a26f7ccc19	Gnaeus Domitius Ahenobarbus
321751	Bộ Ngân khố Hoa Kỳ
7347d67d7ffbd5a00c295cda5395ed7f	Thập niên 1090 TCN
555856	Guccio Gucci
33041	1975
208808	Hector Berlioz
20431	30 tháng 7
27358	Kỷ Mùi
365818	Chí Thiện
18349	Carl Friedrich Gauss
391971	1809
529560	1589
798259	Lâm Sảng Văn
187432	1896
55d5039c09b79778a10a97aac0c8c6d8	Gananath Obeyesekere
529373	1694
183779	James I của Anh
127578	Bộ Binh
20533	20 tháng 9
253632	Ali bin Abu Talib
201762	1776
ffb588dc044378ee80cc49dd2efbed82	Bình dân (La Mã cổ đại)
109943	Hành Dương
64293	1970
1343735	Barra
f10e1b2a005b6a4b87cfa01c9de3aa2b	Alfred Kleiner
1678972	Đảo Côn Lôn
505938	1798
107937	1953
541400	45 TCN
141966	Cao Ly
1201464	Nhà Hậu Lê
